league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,ShtCmp,ShtAtt,ShtCmp%,MedCmp,MedAtt,MedCmp%,LngCmp,LngAtt,LngCmp%,Ast,xAG,xA,A-xAG,KP,FT,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThird,CPA,Mis,Dis,Rec,PrgR,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
FRA-Ligue 1,2324,Montpellier,Elye Wahi,FRA,FW,21-152,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,1,2,0,0,0,0,0,0,4.23,4.23,0,4.23,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,6,6,100,99,22,3,3,100,3,3,100,0,0,,0,0.6,0.1,-0.6,1,0,0,0,1,6,5,1,0,0,0,0,0,0,0,0,0,6,0,0,1,6.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,0,5,6,1,10,1,1,100,0,0,8,82,17,1,1,1,3,0,8,2,14,14,0.5,0.2,0,,0,1,14,0,1,0,1,-1,-6.43,-6.31,0.6,0.2,0.4,2.56,2.72,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100
FRA-Ligue 1,2324,Montpellier,Enzo Tchato,CMR,DF,21-192,2002,17,11,1125,12.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,26,46,57,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05,0,5,1,20,0.4,0.08,0,0,18.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,478,639,74.8,8024,3281,227,267,85,192,244,78.7,44,101,43.6,0,0.3,0.8,-0.3,7,45,15,11,46,639,526,111,9,0,1,49,102,0,0,0,0,478,2,17,18,1.44,13,3,0,0,1,1,0,0,0,0,0,0,0,0,26,17,18,4,4,11,25,44,14,20,7,13,11,37,25,0,741,39,222,332,196,10,741,5,4,80,1,20,462,2825,1543,26,31,3,9,2,425,57,1125,66,36.8,12.5,11,86,8,6,30,14,1.41,16,18,-2,-0.16,-0.02,18.3,17.2,1.1,0.09,0.36,2,0,0,15,5,0,49,11,17,0,0,0,42,10,11,47.6
FRA-Ligue 1,2324,Montpellier,Falaye Sacko,MLI,DF,29-032,1995,19,15,1382,15.4,0,1,1,0,0,0,0,0,0,0,0.4,0.5,38,63,42,0,0.07,0.07,0,0.07,0,0.03,0.03,0,0.03,0,1,0,0,0.07,0,0,,27.4,0,0,0,0,0,0.02,0,0,605,784,77.2,10049,3666,267,311,85.9,275,343,80.2,41,84,48.8,1,0.4,1.3,0.6,7,39,13,6,63,784,636,148,10,0,2,27,138,0,0,0,0,605,0,20,27,1.76,23,1,0,0,2,1,4,0.26,4,0,0,0,0,0,28,16,13,10,5,21,32,65.6,11,19,7,12,24,52,37,0,922,54,288,425,220,11,922,19,11,57.9,8,42.1,548,3276,1612,38,28,5,14,7,472,42,1382,73,45.2,15.4,15,86,13,4,22,6,1,17,24,-7,-0.46,-0.56,21.6,20.4,1.2,0.08,0.4,0,0,0,8,8,0,27,24,16,0,0,1,107,15,23,39.5
FRA-Ligue 1,2324,Montpellier,Issiaga Sylla,GUI,"DF,FW",30-153,1994,19,17,1455,16.2,1,2,3,1,0,0,3,0,1.4,1.4,1.7,3.1,29,43,51,0.06,0.12,0.19,0.06,0.19,0.09,0.11,0.19,0.09,0.19,1,13,5,38.5,0.8,0.31,0.08,0.2,14.6,0,0,0,1.4,1.4,0.11,-0.4,-0.4,528,719,73.4,9051,3985,242,300,80.7,218,271,80.4,51,108,47.2,2,1.7,1,0.3,16,34,10,7,43,719,564,150,10,0,2,43,140,0,0,0,0,528,5,24,31,1.92,22,5,1,2,0,1,2,0.12,2,0,0,0,0,0,28,17,20,6,2,16,34,47.1,18,21,7,14,23,51,53,0,899,82,289,410,212,30,899,19,10,52.6,9,47.4,531,3116,1562,29,21,2,30,14,452,51,1455,77,47.5,16.2,17,85,14,2,7,1,1.26,25,24,1,0.06,0.4,22.5,23.3,-0.8,-0.05,0.18,3,0,0,21,10,3,43,23,17,0,0,0,90,18,15,54.5
FRA-Ligue 1,2324,Montpellier,Jordan Ferri,FRA,MF,32-082,1992,30,23,2031,22.6,1,1,2,1,0,0,6,0,0.6,0.6,1.9,2.5,37,173,68,0.04,0.04,0.09,0.04,0.09,0.03,0.09,0.11,0.03,0.11,1,9,1,11.1,0.4,0.04,0.11,1,22,1,0,0,0.6,0.6,0.07,0.4,0.4,1101,1331,82.7,19799,6455,436,500,87.2,492,556,88.5,126,202,62.4,1,1.9,2.1,-0.9,28,118,26,10,173,1331,1299,32,19,5,8,38,11,2,0,0,0,1101,0,20,67,2.97,58,2,2,1,3,1,2,0.09,2,0,0,0,0,0,36,22,16,17,3,20,67,29.9,47,19,1,18,13,49,23,0,1525,51,347,877,320,18,1525,36,17,47.2,19,52.8,1231,6540,2900,37,43,5,45,33,1132,68,2031,68,66.4,22.6,23,80,10,7,26,0,1.23,33,33,0,0,0.44,32,29.7,2.2,0.1,0.72,6,0,0,48,43,0,38,13,22,0,1,0,174,10,20,33.3
FRA-Ligue 1,2324,Montpellier,Joris Chotard,FRA,MF,22-252,2001,31,30,2587,28.7,0,3,3,0,0,0,5,0,0.6,0.6,1.9,2.6,12,111,40,0,0.1,0.1,0,0.1,0.02,0.07,0.09,0.02,0.09,0,21,7,33.3,0.73,0.24,0,0,26.1,0,0,0,0.6,0.6,0.03,-0.6,-0.6,961,1179,81.5,18558,6343,366,425,86.1,419,489,85.7,142,195,72.8,3,1.9,2.5,1.1,14,111,15,5,111,1179,1113,62,55,6,19,33,3,3,0,3,0,961,4,27,46,1.6,38,2,0,2,2,2,4,0.14,4,0,0,0,0,0,81,52,45,25,11,48,96,50,48,47,21,26,44,125,60,0,1481,118,483,809,201,18,1481,14,3,21.4,9,64.3,952,4381,1727,12,18,2,22,13,793,40,2587,83,84.5,28.7,30,84,22,1,57,0,1.23,35,38,-3,-0.1,0.28,37.2,44.5,-7.4,-0.26,-0.74,5,0,0,30,18,0,33,44,52,0,1,0,207,25,23,52.1
FRA-Ligue 1,2324,Montpellier,Kelvin Yeboah,ITA,FW,24-027,2000,13,0,276,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,9,5,25,0,0,0,0,0,0.15,0.08,0.24,0.15,0.24,0,6,3,50,1.96,0.98,0,0,15.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,58,79,73.4,762,190,35,40,87.5,18,26,69.2,1,4,25,0,0.3,0.1,-0.3,5,3,0,0,5,79,77,1,0,0,1,3,0,0,0,0,0,58,1,1,9,2.93,7,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2,2,2,0,1,3,33.3,2,3,2,1,1,5,3,0,126,7,23,43,61,18,126,14,8,57.1,4,28.6,89,615,280,9,6,6,13,6,85,25,276,21,9,3.1,0,,0,13,21,3,1.08,2,4,-2,-0.65,-0.56,3.8,6.3,-2.5,-0.8,-0.73,0,0,0,11,8,3,3,1,2,0,0,0,16,11,16,40.7
FRA-Ligue 1,2324,Montpellier,Khalil Fayad,FRA,"FW,MF",19-359,2004,23,11,1025,11.4,3,0,3,3,0,0,2,0,1.9,1.9,0.5,2.4,18,35,47,0.26,0,0.26,0.26,0.26,0.17,0.04,0.21,0.17,0.21,3,17,7,41.2,1.49,0.61,0.18,0.43,18.9,1,0,0,1.9,1.9,0.11,1.1,1.1,276,345,80,4324,1087,142,161,88.2,98,124,79,21,40,52.5,0,0.5,0.5,-0.5,8,31,4,1,35,345,333,10,4,1,4,13,4,0,0,0,0,276,2,6,19,1.67,10,0,0,2,6,1,0,0,0,0,0,0,0,0,28,15,17,7,4,9,22,40.9,13,15,3,12,14,42,6,0,473,12,95,242,139,24,473,23,10,43.5,11,47.8,338,1944,832,18,14,4,15,14,307,47,1025,45,33.5,11.4,11,67,0,12,24,7,0.91,7,19,-12,-1.05,-1.36,13.4,18.4,-5,-0.44,-0.44,2,0,0,22,24,1,13,14,15,0,0,0,54,12,14,46.2
FRA-Ligue 1,2324,Montpellier,Lucas Mincarelli,FRA,"DF,MF",20-149,2004,13,12,978,10.9,1,1,2,1,0,0,1,1,0.4,0.4,0.6,0.9,24,26,40,0.09,0.09,0.18,0.09,0.18,0.03,0.05,0.09,0.03,0.09,1,6,3,50,0.55,0.28,0.17,0.33,17.9,0,0,0,0.4,0.4,0.06,0.6,0.6,326,438,74.4,5326,1994,160,192,83.3,135,160,84.4,21,57,36.8,1,0.6,0.8,0.4,4,14,7,2,26,438,346,92,2,1,0,26,90,0,0,0,0,326,0,17,11,1.01,11,0,0,0,0,0,1,0.09,1,0,0,0,0,0,29,16,19,6,4,17,34,50,17,17,4,13,8,37,27,0,572,38,190,253,135,10,572,22,8,36.4,13,59.1,312,2156,998,24,27,1,11,15,276,40,978,75,32,10.9,12,81,6,1,5,9,1.23,13,14,-1,-0.09,0.08,14.8,17.9,-3.1,-0.28,-0.21,1,1,0,4,10,0,26,8,16,0,1,0,50,10,13,43.5
FRA-Ligue 1,2324,Montpellier,Léo Leroy,FRA,MF,24-109,2000,21,3,499,5.5,0,1,1,0,0,0,4,0,0.8,0.8,0.7,1.5,8,21,9,0,0.18,0.18,0,0.18,0.15,0.13,0.28,0.15,0.28,0,7,1,14.3,1.26,0.18,0,0,21.3,0,0,0,0.8,0.8,0.12,-0.8,-0.8,132,184,71.7,2315,933,60,79,75.9,52,66,78.8,16,25,64,1,0.7,0.1,0.3,4,12,2,0,21,184,183,0,0,1,3,1,0,0,0,0,0,132,1,6,8,1.44,6,0,0,2,0,0,1,0.18,1,0,0,0,0,0,19,10,8,8,3,6,21,28.6,15,12,3,9,7,26,8,0,270,18,98,130,48,6,270,14,5,35.7,9,64.3,168,944,408,8,5,1,8,5,145,9,499,24,16.3,5.5,3,72,1,18,16,6,1.18,9,12,-3,-0.54,-0.47,7.9,10.3,-2.4,-0.44,-0.35,4,0,0,19,5,0,1,7,10,0,0,0,37,8,9,47.1
FRA-Ligue 1,2324,Montpellier,Mamadou Sakho,FRA,DF,34-110,1990,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,15,16,93.8,192,105,8,8,100,6,6,100,0,0,,0,0,0,0,0,0,0,0,1,16,15,1,1,0,0,0,0,0,0,0,0,15,0,0,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0,18,1,11,7,0,0,18,0,0,,0,,15,50,36,0,0,0,0,0,15,0,7,7,0.2,0.1,0,,0,1,7,5,3,1,0,1,12.86,13.03,0.5,0.2,0.3,4.03,4.18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,50
FRA-Ligue 1,2324,Montpellier,Maxime Estève,FRA,DF,22-007,2002,12,12,995,11.1,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,8,23,10,0.09,0.09,0.18,0.09,0.18,0.02,0.02,0.04,0.02,0.04,1,5,2,40,0.45,0.18,0.2,0.5,9.7,0,0,0,0.2,0.2,0.05,0.8,0.8,289,369,78.3,5200,1826,110,130,84.6,142,171,83,28,55,50.9,1,0.3,0.6,0.7,5,16,0,0,23,369,340,29,11,1,2,2,14,0,0,0,0,289,0,5,11,0.93,9,1,0,1,0,0,1,0.08,1,0,0,0,0,0,16,12,11,5,0,10,15,66.7,5,13,9,4,18,34,50,0,493,79,256,218,26,9,493,5,2,40,3,60,282,1411,699,8,4,1,5,1,249,10,995,83,32.5,11.1,12,83,9,0,,5,1.17,8,12,-4,-0.36,-0.32,12.5,14.9,-2.4,-0.2,-0.1,2,0,0,11,7,0,2,18,12,0,0,1,52,18,13,58.1
FRA-Ligue 1,2324,Montpellier,Modibo Sagnan,MLI,DF,25-049,1999,13,12,1054,11.7,2,0,2,2,0,0,5,0,1.2,1.2,0.3,1.5,7,25,5,0.17,0,0.17,0.17,0.17,0.1,0.03,0.13,0.1,0.13,2,9,3,33.3,0.77,0.26,0.22,0.67,19.5,0,0,0,1.2,1.2,0.13,0.8,0.8,442,517,85.5,8897,3096,124,147,84.4,236,256,92.2,66,89,74.2,0,0.3,0.4,-0.3,3,27,0,0,25,517,500,15,10,0,5,1,2,0,0,0,0,442,2,6,8,0.68,7,0,0,0,0,1,1,0.09,1,0,0,0,0,0,34,22,23,9,2,15,25,60,10,13,9,4,15,49,67,0,676,107,342,306,31,13,676,2,2,100,0,0,447,2290,1211,7,3,0,6,3,408,5,1054,81,34.4,11.7,12,88,9,1,1,1,1.46,18,17,1,0.09,0.35,17.3,21.9,-4.6,-0.4,-0.39,5,0,0,19,8,0,1,15,22,0,0,0,51,20,10,66.7
FRA-Ligue 1,2324,Montpellier,Musa Al-Taamari,JOR,FW,26-358,1997,27,24,1928,21.4,5,2,7,5,0,0,0,0,3.6,3.6,3.5,7.1,81,54,168,0.23,0.09,0.33,0.23,0.33,0.17,0.16,0.33,0.17,0.33,5,46,19,41.3,2.15,0.89,0.11,0.26,17.8,0,0,0,3.6,3.6,0.08,1.4,1.4,402,553,72.7,5492,1444,233,290,80.3,119,158,75.3,16,26,61.5,2,3.5,2,-1.5,20,21,28,0,54,553,515,35,7,4,3,22,19,3,1,0,0,402,3,34,70,3.27,34,2,12,6,14,2,8,0.37,3,0,3,0,2,0,20,16,10,5,5,9,21,42.9,12,18,2,16,4,24,5,0,843,8,95,331,444,92,843,115,44,38.3,61,53,641,5046,2262,81,59,46,80,32,603,168,1928,71,63,21.4,24,78,8,3,23,0,1.41,27,29,-2,-0.09,0.15,27.7,28.3,-0.6,-0.03,0.31,0,0,0,11,51,8,22,4,16,2,0,0,101,10,19,34.5
FRA-Ligue 1,2324,Montpellier,Othmane Maamma,FRA,FW,18-240,2005,2,1,88,1,1,0,1,1,0,0,0,0,0.3,0.3,0.5,0.7,7,2,3,1.02,0,1.02,1.02,1.02,0.27,0.47,0.74,0.27,0.74,1,3,1,33.3,3.07,1.02,0.33,1,14.6,0,0,0,0.3,0.3,0.09,0.7,0.7,25,32,78.1,394,47,16,18,88.9,8,11,72.7,1,2,50,0,0.5,0.1,-0.5,3,1,1,0,2,32,32,0,0,0,0,4,0,0,0,0,0,25,0,1,7,7.16,3,0,3,0,1,0,0,0,0,0,0,0,0,0,3,3,2,0,1,1,1,100,0,3,0,3,0,3,0,0,49,1,9,23,22,5,49,10,6,60,4,40,39,448,138,7,6,3,5,5,35,3,88,44,2.9,1,1,58,0,1,30,2,0.5,1,3,-2,-2.05,-1.95,1.2,3.9,-2.7,-2.81,-2.75,0,0,0,0,1,0,4,0,3,0,0,0,9,0,1,0
FRA-Ligue 1,2324,Montpellier,Sacha Delaye,FRA,"MF,FW",22-040,2002,9,0,130,1.4,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,4,8,0,0,0,0,0,0.23,0.07,0.3,0.23,0.3,0,5,2,40,3.46,1.38,0,0,21.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,38,48,79.2,533,150,21,24,87.5,13,15,86.7,1,5,20,0,0.1,0.1,-0.1,2,3,1,1,4,48,48,0,0,0,0,3,0,0,0,0,0,38,0,3,6,4.15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,3,1,6,16.7,5,2,0,2,0,7,1,0,72,0,8,24,41,9,72,3,2,66.7,1,33.3,48,284,132,2,4,1,6,0,45,8,130,14,4.2,1.4,0,,0,9,14,18,0.89,1,0,1,0.69,0.88,2.9,2.4,0.5,0.33,0.49,1,0,0,6,1,0,3,0,2,0,0,0,8,1,6,14.3
FRA-Ligue 1,2324,Montpellier,Silvan Hefti,SUI,"DF,FW",26-221,1997,11,9,711,7.9,0,1,1,0,0,0,1,0,0.2,0.2,1,1.2,14,25,36,0,0.13,0.13,0,0.13,0.03,0.13,0.15,0.03,0.15,0,4,1,25,0.51,0.13,0,0,18.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,238,328,72.6,3494,1326,132,158,83.5,81,115,70.4,10,27,37,1,1,1.1,0,3,12,7,3,25,328,268,59,2,0,1,19,57,0,0,0,0,238,1,15,11,1.39,9,1,0,1,0,0,3,0.38,3,0,0,0,0,0,21,15,10,7,4,15,29,51.7,14,7,2,5,8,29,11,0,391,21,128,162,107,10,391,10,7,70,2,20,238,1488,736,14,9,1,5,6,209,36,711,65,23.2,7.9,9,76,5,2,13,5,1.55,13,10,3,0.38,0.69,9.4,16.5,-7.2,-0.91,-1,1,0,0,5,8,0,19,8,15,0,0,0,39,3,8,27.3
FRA-Ligue 1,2324,Montpellier,Tanguy Coulibaly,FRA,"FW,MF",23-105,2001,16,7,623,6.9,1,0,1,1,0,0,2,0,2.6,2.6,0.8,3.3,27,13,48,0.14,0,0.14,0.14,0.14,0.37,0.11,0.48,0.37,0.48,1,17,7,41.2,2.46,1.01,0.06,0.14,14.1,0,0,0,2.6,2.6,0.15,-1.6,-1.6,137,172,79.7,1831,305,81,89,91,41,54,75.9,3,7,42.9,0,0.8,0.6,-0.8,9,6,4,0,13,172,165,6,0,0,0,8,5,0,0,0,0,137,1,3,20,2.89,13,0,3,2,2,0,3,0.43,1,0,0,1,1,0,13,11,8,4,1,4,9,44.4,5,11,1,10,2,15,2,0,289,3,61,116,125,36,289,26,17,65.4,7,26.9,207,1736,871,27,24,14,31,15,192,48,623,39,20.4,6.9,7,61,1,9,22,2,1.44,11,14,-3,-0.43,-0.36,11.9,12.6,-0.7,-0.09,0.06,2,0,0,12,14,0,8,2,11,1,0,0,44,8,9,47.1
FRA-Ligue 1,2324,Montpellier,Théo Sainte-Luce,FRA,DF,25-226,1998,6,3,346,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,15,6,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,0,3,1,33.3,0.78,0.26,0,0,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,136,172,79.1,2097,901,67,73,91.8,60,75,80,5,14,35.7,0,0.1,0.1,-0.1,1,10,0,0,15,172,134,36,4,0,0,7,32,0,0,0,0,136,2,4,3,0.78,0,1,0,0,1,1,0,0,0,0,0,0,0,0,17,7,10,6,1,11,19,57.9,8,9,4,5,3,20,15,0,229,20,80,109,43,4,229,9,3,33.3,5,55.6,120,639,326,8,6,1,5,1,110,6,346,58,11.3,3.8,3,79,1,3,37,7,0.5,1,6,-5,-1.3,-1.3,3.8,3.9,-0.2,-0.04,0.11,1,0,0,3,4,0,7,3,7,0,0,0,23,3,4,42.9
FRA-Ligue 1,2324,Montpellier,Téji Savanier,FRA,MF,32-163,1991,32,32,2765,30.7,9,6,15,2,7,7,8,1,9.1,3.6,6.9,10.5,39,224,108,0.29,0.2,0.49,0.07,0.26,0.29,0.22,0.52,0.12,0.34,9,75,22,29.3,2.44,0.72,0.03,0.09,26.8,21,7,7,9.1,3.6,0.05,-0.1,-1.6,1306,1888,69.2,27308,10471,477,582,82,473,618,76.5,293,562,52.1,6,6.9,8.5,-0.9,91,186,44,8,224,1888,1549,322,137,10,47,231,13,125,32,83,0,1306,17,31,184,5.99,100,55,6,11,8,4,19,0.62,11,5,1,2,0,0,37,20,16,15,6,14,63,22.2,49,36,8,28,33,70,28,1,2283,58,434,1212,682,52,2276,108,55,50.9,42,38.9,1525,8329,3398,39,59,8,59,38,1409,108,2765,86,90.4,30.7,32,86,19,0,,0,1.28,38,42,-4,-0.13,0.17,42,41.7,0.3,0.01,1.57,8,1,0,41,80,3,231,33,20,0,0,0,196,21,32,39.6
FRA-Ligue 1,2324,Montpellier,Wahbi Khazri,TUN,FW,33-115,1991,25,13,1131,12.6,1,0,1,1,0,0,6,0,3.3,3.3,1.2,4.5,27,33,76,0.08,0,0.08,0.08,0.08,0.26,0.1,0.36,0.26,0.36,1,42,15,35.7,3.34,1.19,0.02,0.07,21.3,0,0,0,3.3,3.3,0.08,-2.3,-2.3,227,318,71.4,3892,1215,108,141,76.6,71,98,72.4,28,47,59.6,0,1.2,0.8,-1.2,10,21,5,2,33,318,298,18,3,3,14,11,7,4,2,1,0,227,2,11,26,2.07,15,1,4,2,4,0,2,0.16,1,0,0,1,0,0,24,17,8,12,4,14,35,40,21,10,0,10,3,27,7,0,483,14,67,233,192,52,483,38,14,36.8,23,60.5,363,2339,1031,27,22,10,31,14,351,76,1131,45,37,12.6,13,69,1,12,20,0,1.08,17,18,-1,-0.08,0.11,18.4,19.3,-0.9,-0.07,0.11,6,0,0,19,23,7,11,3,17,0,0,0,57,9,13,40.9
FRA-Ligue 1,2324,Montpellier,Yanis Issoufou,FRA,MF,17-218,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2,2,100,71,7,1,1,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,1,1,2,0,3,1,0,0,1,100,5,31,0,0,1,0,0,1,3,1,13,13,0.4,0.1,0,,0,1,13,6,0,0,0,0,0,0.15,0.1,0.1,-0.1,-0.45,-0.31,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0
FRA-Ligue 1,2324,Montpellier,Yann Karamoh,FRA,"FW,MF",25-330,1998,12,1,284,3.2,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1,7,3,28,0.32,0,0.32,0.32,0.32,0.26,0.06,0.32,0.26,0.32,1,5,3,60,1.58,0.95,0.2,0.33,20,0,0,0,0.8,0.8,0.16,0.2,0.2,63,88,71.6,887,140,35,46,76.1,18,24,75,4,7,57.1,0,0.2,0.2,-0.2,5,3,3,1,3,88,85,3,0,0,0,5,0,0,0,0,0,63,0,3,9,2.85,6,0,1,1,1,0,1,0.32,0,0,0,1,0,0,1,0,0,0,1,1,2,50,1,3,0,3,0,1,0,0,134,1,11,57,68,8,134,12,6,50,6,50,103,742,257,7,8,0,14,9,103,28,284,24,9.3,3.2,1,60,0,11,20,2,1.33,7,5,2,0.63,0.86,4.1,6.2,-2,-0.65,-0.56,1,0,0,7,7,2,5,0,0,0,0,0,17,2,13,13.3
FRA-Ligue 1,2324,Nantes,Abdoul Kader Bamba,FRA,"FW,MF",30-008,1994,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1,3.2,41,31,73,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46,2,14,5,35.7,2.06,0.74,0.14,0.4,16.1,1,0,0,2.1,2.1,0.16,-0.1,-0.1,267,336,79.5,4343,1133,127,151,84.1,103,128,80.5,22,36,61.1,1,1,1.1,0,11,18,10,2,31,336,307,26,11,3,1,26,6,9,4,3,0,267,3,1,36,5.29,22,3,2,3,6,0,3,0.44,2,1,0,0,0,0,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,611,27,20,6.8,1,59,0,22,25,9,0.7,8,17,-9,-1.33,-0.74,10,16,-6.1,-0.89,-0.54,2,0,0,3,35,5,26,4,7,1,0,0,44,6,6,50
FRA-Ligue 1,2324,Nantes,Adel Mahamoud,COM,FW,21-119,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2,4,50,32,18,0,2,0,2,2,100,0,0,,0,0,0,0,0,1,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,3,2,0,5,1,1,100,0,0,3,12,4,0,0,0,1,0,2,1,10,10,0.3,0.1,0,,0,1,10,5,1,0,0,0,0,0.74,0,0.2,-0.2,-1.66,-1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FRA-Ligue 1,2324,Nantes,Adson,BRA,"MF,FW",23-240,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0,0,0,0,0,0.09,0.04,0.13,0.09,0.13,0,5,0,0,1.89,0,0,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,115,130,88.5,1750,378,61,64,95.3,40,46,87,8,10,80,0,0.1,0.3,-0.1,3,11,4,0,15,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,9,3.4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,1,6,0,2,2,100,0,5,0,5,2,9,2,0,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19,238,30,7.8,2.6,2,61,0,6,20,0,1,2,6,-4,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0
FRA-Ligue 1,2324,Nantes,Alban Lafont,FRA,GK,25-131,1999,28,28,2496,27.7,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,720,1006,71.6,19485,13677,143,144,99.3,359,364,98.6,214,493,43.4,0,0,0,0,0,14,0,0,3,1006,770,235,69,0,3,0,0,0,0,0,0,720,1,0,6,0.22,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,0,1081,914,1075,6,0,0,1081,1,0,0,0,0,768,3646,1792,0,0,0,1,0,561,0,2496,89,81.6,27.7,28,89,27,0,,1,0.89,20,43,-23,-0.83,-0.51,30.3,40.3,-10,-0.36,0.51,2,0,0,1,4,0,0,0,0,0,1,0,37,11,1,91.7
